,name,handi,move,shaperate,shapelog,wrbefore,wrafter,wrdiff,trbefore,trafter,trdiff,dist1b,ownbefore,ownafter,owndiff
555,Sat06_Sue_0301_4,4,91,0.0025711064226925373,-5.963418958053501,0.9971434090060387,0.9924412743588473,-0.0047021346471913805,10.490904984362004,4.597995865592682,-5.892909118769322,2.23606797749979,0.9882783059136687,-0.9478792101620289,1.9361575160756976
556,Yam12_Sue_0316_1,4,53,0.001,-6.907755278982137,0.45317159766432846,0.331421025837332,-0.12175057182699645,-0.32481453042403013,-3.3884229176451695,-3.0636083872211395,1.4142135623730951,-0.7150835619883695,-0.7508286796571434,0.03574511766877386
557,Yam12_Sue_0316_1,4,45,0.018696216866374016,-3.9794340821993543,0.9328366939811565,0.6401348162160443,-0.29270187776511225,13.257917100246337,3.5121094514430147,-9.745807648803321,1.0,0.6478897708495394,-0.7433002004900334,1.3911899713395728
558,Yam12_Sue_0316_1,4,7,0.0009860816644504666,-6.9217713828050815,0.9970216913905813,0.9969214244422048,-0.00010026694837650396,46.125457170838146,42.720065918131155,-3.405391252706991,3.1622776601683795,0.2342263804786502,-0.6924828211354838,0.926709201614134
559,Yam12_Sue_0316_1,4,41,0.001,-6.907755278982137,0.9900831130481116,0.9625728923157159,-0.02751022073239573,24.89737302459861,16.87259397783221,-8.024779046766401,5.0,0.22415117454871164,-0.5193785013011839,0.7435296758498955
560,Yam12_Sue_0316_1,4,3,0.002327590947970748,-6.0629214741862505,0.9973385176815545,0.9971203099010056,-0.00021820778054881806,44.96265890620007,41.911816785530206,-3.050842120669863,10.295630140987,0.385230369747602,0.28309013094511626,0.10214023880248574
561,Yam12_Sue_0316_1,4,19,0.001,-6.907755278982137,0.9958811583861309,0.9950417365860964,-0.00083942180003449,34.554030622566856,31.687146305843058,-2.866884316723798,2.0,0.8705294467679683,-0.06930241159491024,0.9398318583628785
562,Yam12_Sue_0316_1,4,23,0.004234162159264088,-5.464569807696277,0.9955860716630061,0.9945426695057762,-0.0010434021572298668,35.66396312654117,29.697702372638332,-5.966260753902837,1.0,0.8600421330508158,-0.06641206952724991,0.9264542025780657
563,Yam12_Sue_0316_1,4,67,0.005632501561194658,-5.1792016084817645,0.013574850938268157,0.008109211320491805,-0.005465639617776352,-4.699408861235722,-5.71183710192958,-1.0124282406938585,9.848857801796104,-0.9984825916243308,0.9773584231173957,-1.9758410147417265
564,Yam12_Sue_0316_1,4,21,0.0005734322476200759,-7.463870766786861,0.9960170241769565,0.9949155309759868,-0.0011014932009696388,35.99319096103489,31.607580278855476,-4.385610682179415,6.708203932499369,0.14501316655700883,-0.05582576211690627,0.2008389286739151
565,Sat04_Sue_0301_2,4,17,0.0011452299077063799,-6.772149869375438,0.9969668042949336,0.9968555741703741,-0.00011123012455949155,46.01410010521764,41.109199588759175,-4.9049005164584685,1.4142135623730951,0.04877660957664607,0.22375854229209294,-0.17498193271544688
566,Sat04_Sue_0301_2,4,37,0.001554591697640717,-6.466542341693983,0.9851234512712748,0.9778907897610734,-0.00723266151020141,19.803469243286216,20.67907225871543,0.8756030154292134,10.0,-0.7811832047929564,0.93116417927558,-1.7123473840685364
567,Sat04_Sue_0301_2,4,73,0.04421602562069893,-3.1186679850072747,0.020807726306228957,0.00953086296909611,-0.011276863337132847,-3.7033700259653637,-4.778588490504969,-1.0752184645396055,5.0990195135927845,-0.9993050292238986,-0.9439036131875017,-0.05540141603639692
568,Sat04_Sue_0301_2,4,21,0.001,-6.907755278982137,0.9965728984272054,0.996369690027284,-0.00020320839992138406,40.931129945239626,34.58558647346151,-6.3455434717781145,1.4142135623730951,0.28220589087111864,-0.5974299459525897,0.8796358368237083
569,Sat04_Sue_0301_2,4,41,0.0006820440758019686,-7.290416274933451,0.9717951899734906,0.8724333938533912,-0.09936179612009932,16.416330852991173,6.855280388266909,-9.561050464724264,9.899494936611665,-0.7806255977102873,-0.8610870663776459,0.0804614686673586
570,Sat04_Sue_0301_2,4,31,0.001322563854046166,-6.628183112564758,0.9936313678312512,0.9929373175229903,-0.0006940503082608629,31.34135637546556,27.494964981343568,-3.8463913941219907,3.0,-0.49557580874150364,0.9224585081317268,-1.4180343168732303
571,Sat04_Sue_0301_2,4,29,0.0006198167102411389,-7.386086752275223,0.9946622102414648,0.9937894120357625,-0.0008727982057022965,33.91463263372324,30.42558933469503,-3.489043299028207,3.0,0.9515006229897918,0.39749851326068364,0.5540021097291081
572,Sat04_Sue_0301_2,4,27,0.000989977503195405,-6.917828339138879,0.9957710401471244,0.9948214827184967,-0.0009495574286276787,37.677401491575736,31.460823677080757,-6.216577814494979,1.0,-0.2639505586835336,-0.2876607044974254,0.023710145813891803
573,Tak20_Kob_0330_2,2,19,0.0005628525977954268,-7.482492779742955,0.9904287013131143,0.9836001149083955,-0.006828586404718839,23.77666449506529,18.621641429553517,-5.155023065511774,3.605551275463989,0.3695190761241912,0.8173528870394057,-0.44783381091521446
574,Tak20_Kob_0330_2,2,27,0.01699197292327881,-4.0750142274220655,0.9671740851892091,0.954502668950314,-0.012671416238895117,13.679348641166206,12.418790543704219,-1.2605580974619865,4.123105625617661,0.2809592842086045,0.7669578529953294,-0.48599856878672487
575,Tak20_Kob_0330_2,2,5,0.04868259280920029,-3.022433749972235,0.9939640420490146,0.9926348191347205,-0.0013292229142940482,27.841662431229206,24.726843734814196,-3.1148186964150106,7.0710678118654755,0.8189781412882068,0.34290501143198415,0.47607312985622263
576,Tak20_Kob_0330_2,2,25,0.0009766542352735996,-6.931377873091083,0.9805717291085436,0.9642240067993186,-0.016347722309224988,16.6086341110661,13.675531699900533,-2.9331024111655655,2.0,-0.0015609389427095654,0.4526317626090763,-0.45419270155178587
577,Tak20_Kob_0330_2,2,57,0.001,-6.907755278982137,0.664619711561537,0.3167496281247243,-0.3478700834368127,1.0148074713532635,-1.875217075652968,-2.890024547006232,9.219544457292887,-0.14979669635932252,0.9867151983623245,-1.136511894721647
578,Tak20_Kob_0330_2,2,7,0.001,-6.907755278982137,0.9940917317104933,0.992085519028113,-0.002006212682380215,27.714103316326995,24.218155609019046,-3.4959477073079483,8.246211251235321,0.8473056505501407,0.3579507572593356,0.4893548932908051
