,name,handi,move,shaperate,shapelog,wrbefore,wrafter,wrdiff,trbefore,trafter,trdiff,dist1b,ownbefore,ownafter,owndiff,trstbefore,trstafter,trstdiff,dist01,dist02,dist21,dist0b,dist2b,bdec30,wdec30,label
0,Yas02_Kob_0328_2,2,75,0.008463220670819283,-4.772025483859292,0.9945496084499298,0.9961405136341528,0.0015909051842231126,35.35931307195806,26.75786244285121,-8.601450629106857,7.211102550927978,-0.4416905357951573,-0.3085673090675604,-0.1331232267275969,12.989086022089575,9.45602741426478,-3.533058607824797,1.0,1.0,0.0,7.211102550927978,7.211102550927978,1,4,0
1,Sat16_cho_0304_2,4,23,0.0013506911927834153,-6.60713882290196,0.9969198473106584,0.9930993712302679,-0.003820476080390378,41.37145861845581,34.70367533837873,-6.667783280077074,1.4142135623730951,-0.6152733552255559,-0.2574708430911289,-0.35780251213442704,22.85593209879877,23.772267360240694,0.9163352614419225,1.0,1.0,0.0,1.4142135623730951,1.4142135623730951,0,6,0
2,Oon04_Kob_0329_4,2,45,0.000794607971329242,-7.137661682757374,0.9702386994524421,0.8646316744145873,-0.1056070250378548,8.716508979526479,6.9964582155395805,-1.7200507639868974,1.0,0.4215323818768196,0.2207035036227261,0.2008288782540935,10.146554364255,13.60724733096435,3.4606929667093507,2.23606797749979,2.23606797749979,0.0,1.0,1.0,1,3,1
3,Yam14_Kob_0316_3,4,87,0.02131611667573452,-3.848291840940208,0.00046006571030232646,0.0002492530306601459,-0.0002108126796421805,-4.8195688613030185,-4.8931463629642735,-0.0735775016612541,0.0,0.9993436421550084,0.9995663874545676,-0.00022274529955912392,1.923808500671552,1.868881232938468,-0.054927267733084095,12.806248474865697,12.806248474865697,0.0,0.0,0.0,0,0,0
4,Yas10_cho_0328_10,2,5,0.001,-6.907755278982138,0.9931134165812832,0.9931133184970848,-9.808419831891511e-08,25.630528903960556,25.24335272435863,-0.38717617960191575,0.0,0.9177248783546466,0.9174972463252624,0.0002276320293841394,18.08590259398318,17.98937297058946,-0.09652962339372097,1.0,1.0,0.0,0.0,0.0,0,0,0
5,Yas16_cho_0328_16,2,13,0.4554924666881561,-0.7863761009739783,0.9933718751671092,0.993066225074236,-0.00030565009287308875,25.31839826401609,24.368978600710392,-0.9494196633057044,1.0,0.30013486208696144,0.2993877470147385,0.0007471150722229702,18.658180487345046,18.184020682971344,-0.4741598043737021,2.23606797749979,2.23606797749979,0.0,1.0,1.0,0,0,0
6,Yam11_Kob_0302_1,4,3,0.001,-6.907755278982138,0.9971653636189354,0.9969017812981368,-0.00026358232079859434,44.48741650024662,42.99510868504043,-1.4923078152061962,1.0,-0.21772279139687786,0.08059589728057491,-0.2983186886774528,22.455312455817133,22.151789183955284,-0.3035232718618559,1.4142135623730951,1.4142135623730951,0.0,1.0,1.0,1,0,1
7,Yas15_Sue_0328_15,2,17,0.029878739267587662,-3.5106081127941686,0.9929586413668948,0.9880235071013772,-0.0049351342655173935,20.287607591432298,19.10939947378563,-1.178208117646669,9.055385138137416,0.5213677230836772,0.4115127416329608,0.10985498145071636,15.331106008267676,16.15787550077307,0.8267694925053917,1.0,1.0,0.0,9.055385138137416,9.055385138137416,0,0,1
8,Mas04_cho_0327_2,4,31,0.0009062354802154003,-7.006211373755022,0.99741739895386,0.9975348274931972,0.00011742853933727204,57.807888911714926,55.53988165324735,-2.2680072584675908,3.1622776601683795,0.13598141094885366,-0.08592752540712723,0.22190893635598088,28.16991063458325,25.923968880605692,-2.245941753977558,3.6055512754639887,3.6055512754639887,0.0,3.1622776601683795,3.1622776601683795,1,1,0
9,Oon12_Sue_0329_12,2,59,0.002076055621728301,-6.177285521297383,0.958139815393312,0.9002703974089323,-0.05786941798437961,3.349263357443073,2.1386321867501232,-1.2106311706929491,3.0,-0.9218124059530316,-0.943691638568174,0.021879232615142463,6.499650516489807,5.942635371676358,-0.5570151448134499,1.4142135623730951,1.4142135623730951,0.0,3.0,3.0,1,0,0
