,name,handi,move,shaperate,shapelog,wrbefore,wrafter,wrdiff,trbefore,trafter,trdiff,dist1b,ownbefore,ownafter,owndiff,trstbefore,trstafter,trstdiff,dist01,dist02,dist21,dist0b,dist2b,bdec30,wdec30,own2before,own2after,own2diff,bdecav,wdecav,label
1801,Sat18_Kob_0304_4,4,23,0.001,-6.907755278982138,0.9975365759233612,0.9971912381797808,-0.00034533774358025404,44.928864348223456,36.275482267621676,-8.653382080601773,10.63014581273465,0.690170405037405,0.32013483716421504,0.37003556787319,21.412305206964707,18.726102956446432,-2.6862022505182783,2.23606797749979,2.23606797749979,0.0,10.63014581273465,10.63014581273465,1,4,0.6777444771182025,-0.09968558815135714,-0.35760963995398753,0.20896418329120545,0.11080563175353314,1
1802,Sat04_Sue_0301_2,4,33,0.0014918948290869596,-6.507708269573194,0.993159918136994,0.991785637718145,-0.0013742804188491275,28.433361682703467,22.746014313903032,-5.687347368800436,4.123105625617661,0.04567407343913472,0.02158441543176676,0.02408965800736796,23.53874779562189,20.83393354830936,-2.7048142473125267,2.23606797749979,2.23606797749979,0.0,4.123105625617661,4.123105625617661,1,0,0.08892289806684363,-0.0209533528999181,-0.06733848263507687,0.05965017183048496,0.06058379512005304,0
1803,Tak04_Kob_0328_4,2,53,0.0008734457660466433,-7.043064518415426,0.9796814687923904,0.9637205979653358,-0.015960870827054663,12.132512613207377,11.841522041375427,-0.2909905718319461,3.0,-0.7294724775337157,-0.9257844408155524,0.19631196328183664,11.954485954667895,12.381766386221113,0.4272804315532159,1.0,1.0,0.0,3.0,3.0,3,4,0.1781401123775746,0.2972726935811851,-1.103924553193127,-0.003397657459074721,0.0010344422859374924,0
1804,Yam05_Kob_0229_2,2,67,0.0005924199358560145,-7.43129482344272,0.0005659860160646124,0.0006811129206861777,0.00011512690462156529,-19.91736680746907,-20.227025623364824,-0.3096588158957587,13.892443989449804,-0.99204384345328,-0.98527709628766,-0.0067667471656197575,3.6711064855050934,4.133734258597102,0.4626277730920108,2.23606797749979,2.23606797749979,0.0,13.892443989449804,13.892443989449804,0,0,-0.9947092034737908,-0.9911128258283926,0.009432107186130743,0.020573459487520318,0.007323494434527192,1
1805,Yas13_cho_0328_13,2,51,0.006442392244935036,-5.044855341237693,0.15527809000738158,0.05580895682348175,-0.09946913318389984,-8.869916133480194,-11.769950558875273,-2.9000344253950785,4.47213595499958,0.10625887162550167,-0.7815218821595518,0.8877807537850535,16.36720260090818,14.33063546944168,-2.0365671314665,9.055385138137416,9.055385138137416,0.0,4.47213595499958,4.47213595499958,1,5,0.3638014718414296,0.1251552507568684,-1.1453233540009813,-0.02116473561861584,0.11353233092594613,0
1806,Tak01_cho_0328_1,4,51,0.009183877147734163,-4.690305816265502,0.998230410048096,0.9981790556232382,-5.135442485770802e-05,73.50742542132699,71.03427322836278,-2.473152192964207,0.0,-0.4734353340585395,-0.4949267739300082,0.02149143987146873,22.903375225679532,23.474312106927805,0.5709368812482758,7.0,7.0,0.0,0.0,0.0,0,0,-0.4896890545090684,-0.5054018798300571,-0.0052377194209398134,-0.016663034737264937,-0.05375110669123817,0
1807,Sat04_Sue_0301_2,4,95,0.0017517381347715855,-6.347146764093735,0.0012230332866924876,0.0018744379066785168,0.0006514046199860291,-8.587053849121794,-17.735546227896528,-9.148492378774735,5.385164807134505,-0.9995220593063804,-0.9977290833781912,-0.0017929759281889446,3.0035809604505834,10.379384833476863,7.375803873026276,3.1622776601683795,3.1622776601683795,0.0,5.385164807134505,5.385164807134505,0,1,0.057703405242148974,-0.09360321403222176,-1.0554324886203403,0.003907767872979556,-2.2306190581211985e-05,0
1808,Sat01_cho_0229_1,4,5,0.001,-6.907755278982138,0.9973376431130859,0.9960087345654578,-0.001328908547628127,48.402152043610926,40.05009557780036,-8.352056465810572,1.4142135623730951,0.6364342859070921,0.5958064312729837,0.04062785463410823,23.458926338989922,21.618767886997862,-1.8401584519920533,3.0,3.0,0.0,1.4142135623730951,1.4142135623730951,0,0,0.3460880441879548,0.45327102354129906,0.2497183870850289,0.00032660742229495554,0.0043391039438225865,1
1809,Sat11_Kob_0303_1,4,95,0.0008708353852853179,-7.046057594053594,0.0002386607752860037,0.0002140313076450795,-2.462946764092422e-05,-39.28549068727175,-39.77058973354863,-0.4850990462768792,0.0,-0.9994609858677262,-0.9994582281413864,-2.7577263398415037e-06,4.98618567720909,4.465217055883553,-0.5209686213255367,1.0,1.0,0.0,0.0,0.0,0,0,-0.9988387551717072,-0.9988164967442146,-0.0006194729696793466,-0.0011823090032538894,-0.002628423867276075,0
1810,Tak12_Sue_0329_5,3,11,0.202405646443367,-1.5974814445104877,0.9964863914877704,0.996547165522388,6.077403461735021e-05,35.899518747554666,34.973887963199125,-0.9256307843555404,0.0,0.6171623187071802,0.6190860065888366,-0.0019236878816564216,20.356854006579347,19.77308734163452,-0.5837666649448252,4.242640687119285,4.242640687119285,0.0,0.0,0.0,0,0,0.8397860177379934,0.8364131655934264,-0.22070001114915688,0.09690821209452988,0.11696799349984455,0
1811,Tak01_cho_0328_1,4,49,0.006423276383429766,-5.047826951361391,0.9980797586874564,0.9968048640524048,-0.0012748946350517045,72.52194494496261,64.00366150941144,-8.518283435551169,5.0,0.1869682137446292,0.2987997379264216,-0.11183152418179236,24.774661241226568,28.819342795923124,4.044681554696556,1.4142135623730951,1.4142135623730951,0.0,5.0,5.0,6,0,-0.07726031799876891,0.31673597745987025,0.3760600559251905,-0.08549612329717421,-0.14113326640425444,1
1812,Tak20_Kob_0330_2,2,49,0.2582778036594391,-1.3537195149790957,0.736132666751399,0.8196956159668067,0.08356294921540773,3.8681651407600537,5.114171663962988,1.2460065232029347,2.0,0.985540853932566,0.9656096723934896,0.01993118153907636,13.652386743638985,13.543519880171635,-0.1088668634673482,4.242640687119285,4.242640687119285,0.0,2.0,2.0,0,1,0.6084088946506001,0.5872235374278276,0.3572007777428894,0.008893257528029995,0.02310281183421244,0
