,name,handi,move,shaperate,shapelog,wrbefore,wrafter,wrdiff,trbefore,trafter,trdiff,dist1b,ownbefore,ownafter,owndiff,trstbefore,trstafter,trstdiff,dist01,dist02,dist21,dist0b,dist2b,bdec30,wdec30
167,Sat02_Kob_0229_2,4,49,0.008291509933769703,-4.792523187244179,0.9558480612247009,0.558514567976583,-0.39733349324811784,9.27092073884682,5.037468689327306,-4.2334520495195145,3.605551275463989,0.894777710980431,0.6811552835289371,0.21362242745149396,11.44633130081616,21.90708470247678,10.46075340166062,3.0,3.1622776601683795,3.605551275463989,3.605551275463989,0.0,6,8
168,Sat02_Kob_0229_2,4,27,0.001,-6.907755278982137,0.9969493750196741,0.9967606190934157,-0.0001887559262583327,36.1349026119757,34.35141934879693,-1.7834832631787663,10.0,0.9415568566565675,-0.17017486828817857,1.111731724944746,19.036793709860973,18.189085427055627,-0.8477082828053462,4.47213595499958,1.0,4.123105625617661,10.0,6.4031242374328485,2,1
169,Sat02_Kob_0229_2,4,25,0.001,-6.907755278982137,0.9964225050234731,0.9967896613130125,0.0003671562895394276,36.905049556949834,33.74420106394846,-3.1608484930013745,10.04987562112089,0.7403227327876949,0.9784168957434499,-0.23809416295575503,19.425541336828182,18.607789536802535,-0.817751800025647,2.23606797749979,7.0710678118654755,8.54400374531753,10.04987562112089,4.47213595499958,0,3
170,Sat02_Kob_0229_2,4,39,0.001,-6.907755278982137,0.9926474351438701,0.9909457283601275,-0.0017017067837425959,19.393477924643708,15.72322688989295,-3.6702510347507573,2.8284271247461903,0.082388422361679,-0.46506606169741377,0.5474544840590928,14.272421239853925,12.170471659857302,-2.1019495799966226,1.4142135623730951,1.0,1.0,2.8284271247461903,2.23606797749979,0,2
171,Sat02_Kob_0229_2,4,73,0.001,-6.907755278982137,0.017770330202092843,0.003401566318389393,-0.01436876388370345,-11.57121256558802,-45.15661237649589,-33.58539981090787,3.1622776601683795,-0.8422686132875478,0.9538216165854619,-1.7960902298730097,11.395104530104243,12.69561789553497,1.3005133654307262,4.47213595499958,5.830951894845301,3.1622776601683795,3.1622776601683795,0.0,7,6
172,Mas08_Sue_0328_2,4,33,0.0016965321265161037,-6.379169036980827,0.9973028488114464,0.9957219085663256,-0.0015809402451207877,40.487290315002554,28.243932575521608,-12.243357739480945,6.708203932499369,0.08213674043079393,0.5741467448111631,-0.4920100043803692,20.315064035465202,17.26581821043173,-3.0492458250334735,1.0,2.8284271247461903,3.605551275463989,6.708203932499369,7.211102550927978,1,5
173,Mas08_Sue_0328_2,4,31,0.0007275016396306455,-7.2258943051333375,0.9972977487214323,0.9964482343604697,-0.0008495143609625888,40.03494195803779,31.026088727345638,-9.008853230692154,6.324555320336759,0.9835778261504393,-0.554626027014165,1.5382038531646043,19.679425963480014,18.711797927306005,-0.967628036174009,1.4142135623730951,1.0,1.0,6.324555320336759,7.280109889280518,3,5
174,Mas08_Sue_0328_2,4,15,0.0013367875944823027,-6.617485860736396,0.9978855078898292,0.9972938590558573,-0.0005916488339718917,47.18652345291334,40.89976437109681,-6.286759081816534,7.211102550927978,0.3814520236433607,0.04098105566108237,0.3404709679822784,20.007846999626615,20.624755850492946,0.6169088508663307,2.0,2.23606797749979,2.23606797749979,7.211102550927978,6.4031242374328485,0,0
175,Mas08_Sue_0328_2,4,13,0.0031584312673658133,-5.757679809025566,0.9980349784287793,0.9978363000300075,-0.00019867839877185656,49.44443028758464,43.69495685994377,-5.749473427640865,10.63014581273465,0.5908170042634787,0.3701774994012403,0.22063950486223843,20.394494255154434,21.115560217777134,0.7210659626226992,3.0,2.23606797749979,2.8284271247461903,10.63014581273465,7.810249675906654,3,0
176,Mas08_Sue_0328_2,4,45,0.0007591911125928164,-7.183257017016294,0.9892069544595902,0.9882150560247409,-0.0009918984348492588,26.96601378989232,24.842898283546983,-2.1231155063453357,5.830951894845301,0.29655447139140934,0.7644348855361645,-0.4678804141447551,18.616909443121536,18.791994935018074,0.17508549189653877,1.0,2.0,2.23606797749979,5.830951894845301,7.280109889280518,2,0
177,Mas08_Sue_0328_2,4,37,0.0005903245182707906,-7.434838141308655,0.9961487199821969,0.993490710041536,-0.0026580099406608992,37.003263154149174,29.13640288802092,-7.866860266128253,5.656854249492381,0.00762224324889028,-0.46314157489924873,0.470763818148139,20.039455897894253,19.9556669010392,-0.08378899685505203,1.4142135623730951,4.242640687119285,5.656854249492381,5.656854249492381,8.0,0,5
178,Yas04_Kob_0328_4,2,53,0.0006298847147263587,-7.369973747821709,0.9768135861622449,0.9347133450832392,-0.042100241079005674,17.984011852223897,10.546462366736494,-7.437549485487404,3.605551275463989,-0.05036114992830031,0.8027284426174183,-0.8530895925457186,17.265307485803667,14.657919579680826,-2.6073879061228418,2.8284271247461903,2.23606797749979,1.0,3.605551275463989,3.1622776601683795,5,4
179,Yas04_Kob_0328_4,2,81,0.0023170877248048782,-6.067444172874052,0.010260365382414705,0.005909509724212114,-0.00435085565820259,-6.384558631673436,-7.299582813960719,-0.9150241822872829,7.280109889280518,0.9852095270484029,0.9738432178312744,0.011366309217128556,6.757273794238918,6.242140620346285,-0.5151331738926332,3.1622776601683795,2.23606797749979,1.0,7.280109889280518,7.615773105863909,0,0
180,Yas04_Kob_0328_4,2,59,0.0013928435510024428,-6.576407901329963,0.9818497064563472,0.8238000188830864,-0.15804968757326077,10.480705686808303,4.12902278225061,-6.351682904557693,6.324555320336759,0.9725758633981141,-0.1345113865023289,1.107087249900443,10.500158611109164,11.447866702237347,0.9477080911281828,6.0,7.0,1.0,6.324555320336759,7.280109889280518,0,5
181,Yas04_Kob_0328_4,2,11,0.001,-6.907755278982137,0.9940946919424556,0.9925119177643659,-0.0015827741780897187,25.85977949875012,23.02967829590662,-2.830101202843501,3.605551275463989,0.18106670468305355,0.24996552145096015,-0.0688988167679066,18.682433490171725,18.19009528920287,-0.49233820096885594,1.0,2.23606797749979,2.8284271247461903,3.605551275463989,5.0,0,2
182,Yas04_Kob_0328_4,2,39,0.001,-6.907755278982137,0.991125467957221,0.984299978222818,-0.006825489734403001,20.45190050854381,16.65945532537288,-3.7924451831709334,7.211102550927978,-0.33559500182651725,-0.584750076650116,0.24915507482359878,17.353446657939585,15.862155799254555,-1.49129085868503,1.0,2.23606797749979,2.0,7.211102550927978,5.656854249492381,0,2
