name,handi,move,wrbefore,wrafter,wrdiff,shaperat,shapelog,pntavebf,pntaveaf,pntavediff,pntstdbf,pntstdaf,pntstddiff,dist01,dist12,dist20,dist0b,dist1b,dist2b,lastown1,afterown1,diffown1,lastown2,afterown2,diffown2,bdec30,bdecsum,wdec30,wdecsum,label1,label2,rand
Kat03_Sue_0326_3,4,29,0.289903,0.282871,-0.007032,8.344298487,18.94767567,24.9067,24.8228,-0.0839,46.6195,47.0133,0.3938,1.414213562,1,1,1,1,0,43,89,46,61.5,61.875,0.375,0,62,1,72,bad,KATACHI,0.943064685
Kat03_Sue_0326_3,4,37,0.272873,0.294968,0.022095,38.56770833,22.45369347,22.995,19.6302,-3.3648,43.5674,43.7493,0.1819,2,2.236067977,1,1,2.236067977,0,56,93,37,45.625,47.75,2.125,0,68,2,136,bad,IKKI,0.026020102
Kat03_Sue_0326_3,4,39,0.294968,0.302152,0.007184,34.88280754,20.12911617,19.6302,21.2766,1.6464,43.7493,45.8074,2.0581,1.414213562,2,3.16227766,1.414213562,0,2,58,76,18,58.375,55.125,-3.25,0,33,0,51,bad,KATACHI,0.74171231
Kat03_Sue_0326_3,4,45,0.316625,0.334331,0.017706,1.131963775,18.41026994,16.017,13.808,-2.209,43.618,42.2722,-1.3458,1.414213562,1,1,5.099019514,4.472135955,5.385164807,37,83,46,43.375,38.25,-5.125,0,148,0,156,bad,AJIKESHI,0.070539217
Kat03_Sue_0326_3,4,55,0.398798,0.462477,0.063679,1.424253666,17.11561682,6.04759,3.16342,-2.88417,40.606,36.3054,-4.3006,4.472135955,6.403124237,3,4.242640687,5.099019514,3,51,95,44,71,42.25,-28.75,3,324,2,154,bad,SOPPO,0.729836381
Kat04_Sue_0326_1,4,9,0.205682,0.2142,0.008518,0.148004356,14.14450059,37.2192,36.1482,-1.071,47.3953,47.5722,0.1769,3,3.605551275,2,2,5,2.828427125,56,88,32,56,41.75,-14.25,0,164,0,181,bad,KATACHI,0.527346524
Kat04_Sue_0326_1,4,11,0.2142,0.220166,0.005966,0.044051455,12.32509935,36.1482,33.6033,-2.5449,47.5722,46.4064,-1.1658,5.385164807,7.615773106,2.236067977,2.828427125,8.062257748,1,66,87,21,55.875,49.25,-6.625,0,142,1,172,bad,SOPPO,0.743268194
Kat04_Sue_0326_1,4,13,0.220166,0.231603,0.011437,8.359648959,18.25492227,33.6033,33.9785,0.3752,46.4064,48.2535,1.8471,1.414213562,1,1,1,2.236067977,2,43,81,38,48.75,47,-1.75,0,49,0,78,bad,KATACHI,0.068986208
Kat04_Sue_0326_1,4,21,0.263038,0.266262,0.003224,0.066334027,13.84052312,27.468,26.4745,-0.9935,45.7498,44.9281,-0.8217,3.16227766,2,1.414213562,2.236067977,5,3,66,86,20,57.75,46.625,-11.125,0,76,0,133,bad,KATACHI,0.347036279
Kat04_Sue_0326_1,4,29,0.267633,0.301085,0.033452,0.005643835,12.86106095,25.5022,20.7128,-4.7894,44.4453,42.3612,-2.0841,7.071067812,8.062257748,1,1,6.08276253,2,67,91,24,39.875,20,-19.875,0,194,1,224,bad,SOPPO,0.342934045
Kat04_Sue_0326_1,4,31,0.301085,0.290493,-0.010592,3.788324435,17.27852476,20.7128,23.3108,2.598,42.3612,43.855,1.4938,2.236067977,1,2,5.656854249,3.605551275,4.472135955,14,60,46,25.5,20.375,-5.125,0,20,0,22,bad,AJIKESHI,0.641910633
Kat04_Sue_0326_1,4,37,0.326887,0.317412,-0.009475,11.64265365,17.94891403,19.1144,20.4483,1.3339,40.611,41.4638,0.8528,1,1.414213562,1,2.828427125,3.605551275,2.236067977,53,81,28,34.625,34,-0.625,0,99,0,109,bad,AJIKESHI,0.455359555
