,Unnamed: 0,name,handi,move,shaperate,shapelog,wrbefore,wrafter,wrdiff,trbefore,trafter,trdiff,dist1b,ownbefore,ownafter,owndiff,label
0,0,Sat18_Kob_0304_4,4,39,0.018120832741260532,-4.010693022400088,0.9945391059099946,0.9955597203003484,0.0010206143903538356,23.59268635906869,15.550705550748255,-8.041980808320439,4.47213595499958,0.17254401547297987,0.3672122031335446,-0.1946681876605647,0
1,1,Sat18_Kob_0304_4,4,25,0.0014663835754618046,-6.524956062086745,0.99721505501338,0.996547004133076,-0.000668050880303972,40.03966502000061,29.61237682933075,-10.427288190669854,5.0,-0.6526047080798465,-0.6686358100277064,0.01603110194785995,1
2,2,Sat18_Kob_0304_4,4,27,0.0005807350389659405,-7.45121594821952,0.9964108659990962,0.9956319360876436,-0.0007789299114525639,34.27286171946944,27.330061799211308,-6.942799920258132,5.385164807134505,-0.5170384017118639,0.007352061592845728,-0.5243904633047096,1
3,3,Sat18_Kob_0304_4,4,5,0.003756494726985693,-5.5842690098601055,0.9970898728326344,0.9970478941367074,-4.197869592703629e-05,46.031715242200306,43.10207245905285,-2.9296427831474574,5.0,0.13870446748015414,0.11942138312174315,0.019283084358410998,2
4,4,Sat18_Kob_0304_4,4,53,0.0023537580855190754,-6.051742042834044,0.8432090321773262,0.12816356263204398,-0.7150454695452823,3.574673663309135,-1.850663365644994,-5.42533702895413,1.0,-0.9482740539976148,-0.9820402509410656,0.033766196943451066,1
5,5,Sat18_Kob_0304_4,4,45,0.0006199790514074267,-7.385824868548504,0.9726816855918896,0.9417390342155068,-0.030942651376382857,5.565059938037906,4.639398641941629,-0.9256612960962762,5.0,-0.6494733373900903,-0.6923763699025063,0.042903032512416006,3
6,6,Sat18_Kob_0304_4,4,19,0.001,-6.907755278982138,0.9977964803401014,0.9973458377996232,-0.00045064254047821883,49.21635527240178,42.98530435621928,-6.231050916182497,4.0,0.5183426594097291,0.7309573002633203,-0.2126146408535912,4
7,7,Sat18_Kob_0304_4,4,43,0.001,-6.907755278982138,0.9948641999292168,0.9659414441310762,-0.02892275579814052,22.02369353097699,5.532865134683595,-16.490828396293395,4.47213595499958,0.19774444203393698,-0.9202130471623065,1.1179574891962434,3
8,8,Sat18_Kob_0304_4,4,33,0.11348790675401688,-2.1760589961601253,0.9958031551756568,0.9950012622168509,-0.0008018929588056168,23.447751153903212,20.828310819499585,-2.619440334403624,1.0,0.9903849985912208,-0.5993264211691336,1.5897114197603543,1
9,9,Sat18_Kob_0304_4,4,13,0.0011605459731072187,-6.7588647181208446,0.9978604223860648,0.9977675571290314,-9.28652570334476e-05,52.358030086667064,48.688887744658366,-3.6691423420086906,4.242640687119285,-0.17684705057106653,-0.5059810936954071,0.3291340431243406,2
10,10,Sat18_Kob_0304_4,4,23,0.001,-6.907755278982138,0.9975365759233612,0.9971912381797808,-0.00034533774358025404,44.928864348223456,36.275482267621676,-8.653382080601773,10.63014581273465,-0.6084111617761789,-0.5759362583957025,-0.032474903380476434,5
11,11,Oon04_cho_0329_4,2,41,0.7443063259124756,-0.2953026005089318,0.9512944654470634,0.9540008557369586,0.0027063902898951664,10.939093574516717,10.132056774134249,-0.8070368003824697,0.0,0.059459636090242386,-0.6652790304817852,0.7247386665720276,4
