,handi,move,shaperate,shapelog,wrbefore,wrafter,wrdiff,trbefore,trafter,trdiff,dist1b,ownbefore,ownafter,owndiff,label
50,2,21,0.001508525,-6.49662301,0.985427395,0.921602474,-0.063824921,22.5508088,11.0198732,-11.53093561,3.16227766,0.282829714,0.311701566,-0.028871852,0
51,2,49,0.007028018,-4.957850596,0.973355018,0.871699849,-0.101655168,5.851465276,2.572834388,-3.278630888,10.44030651,-0.950554804,0.718470938,-1.669025742,1
52,4,39,0.000722081,-7.233373569,0.980602502,0.435878387,-0.544724115,16.50290648,0.153520244,-16.34938624,7.071067812,0.909440603,-0.796720146,1.706160749,1
53,3,19,0.00067222,-7.304924341,0.996536605,0.996558171,2.16E-05,42.47742718,37.18070287,-5.296724304,5,0.774850221,0.103443148,0.671407073,1
54,2,137,0.006609987,-5.019173592,0.990966378,0.998511625,0.007545247,7.794178856,0.645577395,-7.148601461,10.81665383,-0.064405489,-0.99473502,0.930329531,0
55,3,21,0.002236639,-6.102780815,0.996122226,0.995909103,-0.000213123,35.24752493,31.7213143,-3.526210631,2.236067977,0.153791857,-0.234012962,0.387804818,0
56,3,51,0.001549428,-6.469869462,0.095195614,0.065656881,-0.029538733,-12.37692507,-16.49605111,-4.119126041,3.605551275,-0.204718731,0.538798646,-0.743517377,0
57,4,89,0.003982698,-5.525795897,0.000715029,0.000787503,7.25E-05,-41.30469447,-41.92441765,-0.619723182,0,0.820344133,-0.99864243,1.818986563,0
58,2,27,0.004080859,-5.501447884,0.973295899,0.95446165,-0.018834248,13.17941146,11.22723995,-1.95217151,7.615773106,0.860346358,0.125739465,0.734606892,1
59,2,9,0.001,-6.907755279,0.991502404,0.992877611,0.001375207,26.25486298,24.94794636,-1.306916617,0,0.832374746,0.908009812,-0.075635067,1
60,2,99,0.854668677,-0.157041398,0.957937895,0.955761004,-0.002176891,5.967111637,5.435209156,-0.531902481,0,0.018378593,0.771064858,-0.752686265,0
61,4,29,0.000619817,-7.386086752,0.99466221,0.993789412,-0.000872798,33.91463263,30.42558933,-3.489043299,3,0.951500623,0.397498513,0.55400211,1
62,2,37,0.000826007,-7.098907254,0.958056332,0.939633702,-0.01842263,13.20680094,10.83076917,-2.376031768,3.16227766,-0.846936188,-0.939856662,0.092920474,0
63,4,43,0.065821342,-2.720811144,0.994801641,0.995311989,0.000510348,18.29134587,16.51785672,-1.773489151,10.81665383,-0.041641422,-0.54050097,0.498859547,0
64,4,61,0.006988941,-4.963426271,0.024311529,0.007558573,-0.016752957,-3.073812088,-5.454304141,-2.380492053,2,-0.986552761,-0.987344503,0.000791742,1
65,3,39,0.001260957,-6.675884706,0.99634348,0.995851301,-0.000492179,33.03877258,30.53306408,-2.505708504,5,-0.811127145,-0.756302302,-0.054824843,0
66,2,9,0.058144227,-2.844828688,0.992864578,0.977280482,-0.015584095,25.44662177,16.9718401,-8.474781663,2,0.339709459,0.125441249,0.21426821,0
67,2,81,0.001110821,-6.802656289,0.761607246,0.240603087,-0.521004158,1.772000663,-1.596810995,-3.368811658,6.32455532,0.995142474,0.555342889,0.439799585,1
68,2,81,0.001,-6.907755279,0.660456103,0.655586078,-0.004870025,0.815510479,0.648240921,-0.167269557,0,-0.383626797,0.855821339,-1.239448137,0
69,2,81,0.000975455,-6.932606189,0.99536685,0.99413051,-0.00123634,33.44050654,31.89598157,-1.54452497,0,0.96995644,0.917874465,0.052081975,0
70,4,77,0.001,-6.907755279,0.002641059,0.001193859,-0.0014472,-36.33739932,-40.29374172,-3.956342399,6.403124237,-0.933707358,-0.929193258,-0.0045141,1
71,4,69,0.001615148,-6.428328951,0.001434375,0.001163397,-0.000270978,-31.90865882,-35.88683942,-3.978180605,6.08276253,0.979156318,0.863710556,0.115445762,0
72,4,71,0.116736829,-2.1478332,0.995166079,0.99224381,-0.002922269,14.07823637,10.95395805,-3.124278318,9.219544457,-0.953631413,0.99443367,-1.948065083,0
73,3,9,0.000870511,-7.046429701,0.996608853,0.996628532,1.97E-05,38.96498324,37.55055341,-1.414429829,0,0.221959633,0.833503484,-0.611543851,0
74,2,67,0.00522003,-5.255252136,0.994031983,0.990913628,-0.003118356,44.54010658,40.88543794,-3.654668632,3,0.974708558,-0.864042614,1.838751172,1
75,2,15,0.001,-6.907755279,0.985667844,0.96819336,-0.017474483,15.46094273,11.6757218,-3.785220926,8.062257748,0.228006703,-0.971754592,1.199761295,0
76,4,55,0.001,-6.907755279,0.002347567,0.001609131,-0.000738437,-12.9409727,-18.09870589,-5.157733184,5.385164807,0.294323199,0.509757945,-0.215434745,1
77,4,73,0.001017153,-6.890747243,0.007825659,0.00327818,-0.004547479,-14.48598067,-20.96769125,-6.481710582,6.403124237,-0.999320045,-0.990479763,-0.008840282,1
78,2,43,0.001027171,-6.880946824,0.986644818,0.981370162,-0.005274656,11.25417175,8.132245292,-3.121926462,1.414213562,-0.384509649,-0.39717558,0.012665931,0
79,2,97,0.408310771,-0.895726701,0.004029863,0.002360998,-0.001668865,-4.495475479,-4.627317002,-0.131841523,0,-0.998305285,0.997110605,-1.99541589,0
80,2,81,0.034065943,-3.379457127,0.002664597,0.003342559,0.000677962,-7.673075631,-12.2784189,-4.605343269,5.099019514,0.996997582,0.99483299,0.002164592,1
81,2,47,0.001,-6.907755279,0.870250856,0.438245843,-0.432005013,6.929928216,-2.129784452,-9.059712668,2.236067977,0.876031672,-0.972249649,1.848281321,0
82,2,113,0.001245095,-6.688543504,0.034859037,0.025576223,-0.009282813,-1.829097562,-1.885017278,-0.055919716,3,-0.997669385,-0.992456689,-0.005212696,0
83,4,67,0.000624648,-7.37832254,0.004598903,0.00566552,0.001066617,-17.29621998,-39.50381815,-22.20759817,10.04987562,-0.821290864,-0.933643886,0.112353022,1
84,4,27,0.000989978,-6.917828339,0.99577104,0.994821483,-0.000949557,37.67740149,31.46082368,-6.216577814,1,-0.263950559,-0.287660704,0.023710146,1
85,2,15,0.001260811,-6.676000486,0.990979794,0.990974041,-5.75E-06,21.71762856,21.46763448,-0.249994087,0,-0.365591595,-0.233891183,-0.131700412,0
86,4,81,0.001072729,-6.837549404,0.982531351,0.394681297,-0.587850054,5.783649439,-0.462332867,-6.245982306,5.385164807,0.977645069,-0.997163076,1.974808145,1
