,Unnamed: 0,name,handi,move,shaperate,shapelog,wrbefore,wrafter,wrdiff,trbefore,trafter,trdiff,dist1b,ownbefore,ownafter,owndiff,trstbefore,trstafter,trstdiff,dist01,dist02,dist21,dist0b,dist2b,bdec30,wdec30,label
0,0,Sat18_Kob_0304_4,4,39,0.018120832741260532,-4.010693022400088,0.9945391059099946,0.9955597203003484,0.0010206143903538356,23.59268635906869,15.550705550748255,-8.041980808320439,4.47213595499958,0.17254401547297987,0.3672122031335446,-0.1946681876605647,14.938036911484552,10.554133334794855,-4.383903576689695,1.0,1.4142135623730951,1.0,4.47213595499958,5.0,2,3,2
1,1,Sat18_Kob_0304_4,4,25,0.0014663835754618046,-6.524956062086745,0.99721505501338,0.996547004133076,-0.000668050880303972,40.03966502000061,29.61237682933075,-10.427288190669854,5.0,-0.6526047080798465,-0.6686358100277064,0.01603110194785995,20.478290143296032,16.811440219760975,-3.666849923535054,8.06225774829855,7.6157731058639095,1.0,5.0,5.830951894845301,0,3,1
2,2,Sat18_Kob_0304_4,4,27,0.0005807350389659405,-7.45121594821952,0.9964108659990962,0.9956319360876436,-0.0007789299114525639,34.27286171946944,27.330061799211308,-6.942799920258132,5.385164807134505,-0.5170384017118639,0.007352061592845728,-0.5243904633047096,20.742763478287998,17.965651771497434,-2.77711170679056,1.0,2.0,2.23606797749979,5.385164807134505,4.242640687119285,0,1,1
3,3,Sat18_Kob_0304_4,4,5,0.003756494726985693,-5.5842690098601055,0.9970898728326344,0.9970478941367074,-4.197869592703629e-05,46.031715242200306,43.10207245905285,-2.9296427831474574,5.0,0.13870446748015414,0.11942138312174315,0.019283084358410998,22.797232740879373,21.117769338020015,-1.6794634028593585,5.0990195135927845,8.602325267042627,6.0,5.0,7.810249675906653,0,0,3
4,4,Sat18_Kob_0304_4,4,53,0.0023537580855190754,-6.051742042834044,0.8432090321773262,0.12816356263204398,-0.7150454695452823,3.574673663309135,-1.850663365644994,-5.42533702895413,1.0,-0.9482740539976148,-0.9820402509410656,0.033766196943451066,7.618261196512572,5.770752758834537,-1.8475084376780329,4.123105625617661,3.1622776601683795,1.0,1.0,0.0,4,2,1
5,5,Sat18_Kob_0304_4,4,45,0.0006199790514074267,-7.385824868548504,0.9726816855918896,0.9417390342155068,-0.030942651376382857,5.565059938037906,4.639398641941629,-0.9256612960962762,5.0,-0.6494733373900903,-0.6923763699025063,0.042903032512416006,7.7568851293456875,7.661360601982255,-0.09552452736343132,4.47213595499958,10.44030650891055,8.06225774829855,5.0,4.47213595499958,2,4,0
6,6,Sat18_Kob_0304_4,4,19,0.001,-6.907755278982138,0.9977964803401014,0.9973458377996232,-0.00045064254047821883,49.21635527240178,42.98530435621928,-6.231050916182497,4.0,0.5183426594097291,0.7309573002633203,-0.2126146408535912,22.17175038340056,21.588974142613587,-0.582776240786977,2.8284271247461903,2.23606797749979,3.0,4.0,1.0,1,3,7
7,7,Sat18_Kob_0304_4,4,43,0.001,-6.907755278982138,0.9948641999292168,0.9659414441310762,-0.02892275579814052,22.02369353097699,5.532865134683595,-16.490828396293395,4.47213595499958,0.19774444203393698,-0.9202130471623065,1.1179574891962434,15.850884255581029,7.982589081827387,-7.8682951737536415,3.1622776601683795,4.242640687119285,4.0,4.47213595499958,2.0,2,3,0
8,8,Sat18_Kob_0304_4,4,33,0.11348790675401688,-2.1760589961601253,0.9958031551756568,0.9950012622168509,-0.0008018929588056168,23.447751153903212,20.828310819499585,-2.619440334403624,1.0,0.9903849985912208,-0.5993264211691336,1.5897114197603543,14.78104279529577,14.14643944896517,-0.6346033463306,1.0,1.4142135623730951,1.0,1.0,2.0,0,0,1
9,9,Sat18_Kob_0304_4,4,13,0.0011605459731072187,-6.7588647181208446,0.9978604223860648,0.9977675571290314,-9.28652570334476e-05,52.358030086667064,48.688887744658366,-3.6691423420086906,4.242640687119285,-0.17684705057106653,-0.5059810936954071,0.3291340431243406,23.73911787898203,21.892635119063023,-1.846482759919006,5.830951894845301,5.0990195135927845,2.0,4.242640687119285,3.1622776601683795,0,1,3
10,10,Sat18_Kob_0304_4,4,23,0.001,-6.907755278982138,0.9975365759233612,0.9971912381797808,-0.00034533774358025404,44.928864348223456,36.275482267621676,-8.653382080601773,10.63014581273465,-0.6084111617761789,-0.5759362583957025,-0.032474903380476434,21.412305206964707,18.726102956446432,-2.6862022505182783,2.23606797749979,1.4142135623730951,3.0,10.63014581273465,8.94427190999916,3,3,5
11,11,Oon04_cho_0329_4,2,41,0.7443063259124756,-0.2953026005089318,0.9512944654470634,0.9540008557369586,0.0027063902898951664,10.939093574516717,10.132056774134249,-0.8070368003824697,0.0,0.059459636090242386,-0.6652790304817852,0.7247386665720276,12.949598745259154,12.398293430171114,-0.5513053150880456,1.0,2.0,2.23606797749979,0.0,2.23606797749979,0,0,7
12,12,Oon04_cho_0329_4,2,29,0.0010492355795577168,-6.859693399416409,0.982240270544993,0.9582539487645249,-0.023986321780468108,16.287910751465027,13.407727343771114,-2.880183407693913,3.0,-0.6503316840634705,-0.5555343506475262,-0.09479733341594432,15.280860565677312,15.130394490701745,-0.15046607497556685,4.242640687119285,3.0,3.0,3.0,0.0,3,3,8
13,13,Oon04_cho_0329_4,2,11,0.00478393817320466,-5.342491186078551,0.9910454483159412,0.9878893561125174,-0.003156092203423833,19.93105998562498,18.095795745193865,-1.8352642404311157,6.4031242374328485,0.19074665643485672,0.8361433443315631,-0.6453966878967063,16.619956845094052,16.019569462627672,-0.6003873824663764,2.0,3.0,1.0,6.4031242374328485,7.071067811865476,0,0,8
14,14,Oon04_cho_0329_4,2,47,0.07808039337396623,-2.5500162988012844,0.8629449785073227,0.3839344084662349,-0.4790105700410877,7.011865735238431,-3.749149061200058,-10.761014796438491,2.23606797749979,0.8637027688381697,-0.9634957425355072,1.8271985113736768,13.696134930175376,16.150085616300313,2.453950686124939,1.4142135623730951,2.23606797749979,1.0,2.23606797749979,3.1622776601683795,2,3,1
15,15,Oon04_cho_0329_4,2,13,0.0013890877598896625,-6.579108035139844,0.9885699622871392,0.9832078194917212,-0.005362142795418134,19.552807755309843,16.58267682199374,-2.9701309333161032,5.0,-0.3681477131474308,-0.6569828413956638,0.2888351282482329,16.857497497158413,15.962870972317267,-0.8946265248411471,2.23606797749979,3.1622776601683795,1.0,5.0,5.656854249492381,0,0,1
16,16,Oon04_cho_0329_4,2,45,0.001,-6.907755278982138,0.9702128907652224,0.8646316744145873,-0.10558121635063512,8.724908657262768,6.9964582155395805,-1.7284504417231883,1.0,0.9526973165000446,0.8940621201616641,0.05863519633838055,10.154857846625887,13.60724733096435,3.4523894843384646,2.23606797749979,2.8284271247461903,1.0,1.0,0.0,1,2,1
17,17,Sat05_Kob_0301_3,4,47,0.0031539141200482845,-5.759111019712358,0.9880392619555344,0.9868342574088146,-0.0012050045467196788,24.142137964556927,23.801652946768627,-0.3404850177883034,0.0,0.7212769493783606,0.4107475067981008,0.3105294425802599,22.97971279152792,23.255478608220404,0.2757658166924877,1.0,8.54400374531753,7.6157731058639095,0.0,7.6157731058639095,0,0,7
18,18,Sat05_Kob_0301_3,4,43,0.0013364719925448296,-6.617721978426179,0.99158070876446,0.9855667027313488,-0.006014006033111308,26.63959828174005,19.67270408997868,-6.966894191761369,3.0,0.5447399094784269,0.6035683058067733,-0.05882839632834647,22.60822658441743,19.604361528421503,-3.0038650559959272,2.0,3.1622776601683795,1.4142135623730951,3.0,2.23606797749979,0,0,1
19,19,Sat05_Kob_0301_3,4,21,0.0016395481070503592,-6.413334619596873,0.997479067156691,0.9968941482338955,-0.000584918922795441,46.64387019072952,39.16819940601149,-7.475670784718035,3.0,0.25424750699024595,0.3095279550482014,-0.055280448057955456,24.754815000044808,22.721489727974127,-2.0333252720706843,7.0,6.0,1.0,3.0,3.1622776601683795,0,0,7
20,20,Sat05_Kob_0301_3,4,11,0.0012209851993247867,-6.70809720569216,0.9971504962535216,0.9972727022556184,0.0001222060020967808,42.550339959796254,38.78506747929627,-3.7652724804999806,6.0827625302982185,0.3332167200090133,0.8704557155358948,-0.5372389955268816,21.628665765637322,20.387078583561696,-1.241587182075623,2.23606797749979,1.4142135623730951,3.0,6.0827625302982185,3.1622776601683795,0,0,5
21,21,Sat05_Kob_0301_3,4,61,0.0019450314575806262,-6.242477128479214,0.989541810390542,0.8075180504203152,-0.1820237599702268,39.22207078910487,8.993858652543711,-30.22821213656116,3.6055512754639887,0.5046762896418127,0.2005213860302139,0.30415490361159875,16.784040539293255,17.540963018983813,0.7569224796905623,1.0,1.4142135623730951,1.0,3.6055512754639887,4.242640687119285,7,4,8
22,22,Sat05_Kob_0301_3,4,73,0.001100586960092187,-6.811911641407907,0.9618338701872956,0.01768910707954929,-0.9441447631077462,31.052542475199367,-6.764613301386956,-37.81715577658632,9.219544457292887,-0.6566512349982203,-0.6818039990888284,0.025152764090608067,18.166957891362078,6.445016501243358,-11.72194139011872,3.1622776601683795,6.0827625302982185,3.6055512754639887,9.219544457292887,5.830951894845301,4,5,2
23,23,Sat05_Kob_0301_3,4,3,0.001,-6.907755278982138,0.997145329347731,0.9968284589762636,-0.00031687037146754804,46.46959319280594,43.44310402535773,-3.0264891674482115,1.0,0.4070770984202042,0.4092623381862306,-0.0021852397660264145,22.68683726520733,22.084040567306324,-0.6027966979010095,2.8284271247461903,2.23606797749979,1.0,1.0,0.0,0,0,1
24,24,Sat05_Kob_0301_3,4,7,0.001,-6.907755278982138,0.9966955064403512,0.997073776954225,0.00037827051387384636,44.19874134067223,41.85795708187586,-2.3407842587963685,3.0,0.25390657068775696,0.5448545296981442,-0.2909479590103872,22.185822382884773,21.62645365644199,-0.5593687264427842,1.0,2.0,3.0,3.0,0.0,2,0,7
