,Unnamed: 0,name,handi,move,shaperate,shapelog,wrbefore,wrafter,wrdiff,trbefore,trafter,trdiff,dist1b,ownbefore,ownafter,owndiff,trstbefore,trstafter,trstdiff,dist01,dist02,dist21,dist0b,dist2b,bdec30,wdec30,own2before,own2after,own2diff,bdecav,wdecav,label
329,329,Yas02_Kob_0328_2,2,75,0.008463220670819283,-4.772025483859292,0.9945496084499298,0.9961405136341528,0.0015909051842231126,35.35931307195806,26.75786244285121,-8.601450629106857,7.211102550927977,-0.4416905357951573,-0.3085673090675604,-0.1331232267275969,12.989086022089575,9.45602741426478,-3.533058607824797,1.0,1.0,0.0,7.211102550927977,7.211102550927977,1,4,0.30081210403156833,0.05103920926350576,-0.6093794130991288,-0.04703211890473216,-0.018078033429922317,0
1821,1821,Tak17_cho_0329_10,3,9,0.001,-6.907755278982138,0.9957494119648852,0.9959276911953908,0.000178279230505618,33.777648974071326,33.726169537911,-0.05147943616033501,0.0,0.5633077722128416,0.5563762326425666,0.006931539570274925,20.676427521631158,20.634374670132274,-0.04205285149888738,1.4142135623730951,1.4142135623730951,0.0,0.0,0.0,0,0,0.4857114627585241,0.483887969066137,0.07066476988404252,-0.26312985551147233,-0.059720186577766336,0
236,236,Mas07_cho_0328_1,4,43,0.003662338014692068,-5.609653533687466,0.9908976164325028,0.991203197600646,0.0003055811681433873,19.753915636459595,19.372370412373254,-0.381545224086338,0.0,0.976905780218898,0.9757272581703598,0.0011785220485381884,17.720276550222653,17.33453104550323,-0.3857455047194236,3.0,3.0,0.0,0.0,0.0,0,0,0.12219643733122255,0.13521480945828246,0.8535308208391372,0.0009668174149402576,-0.00017687840367869995,0
1331,1331,Sat16_cho_0304_2,4,17,0.6646537780761719,-0.40848900837539104,0.9958341341478704,0.9954746607417322,-0.00035947340613828865,39.564163731001,41.07413874857215,1.5099750175711648,0.0,0.37913696606388897,0.3837221496172081,-0.004585183553319161,22.415902396100364,23.51590862052014,1.100006224419772,1.4142135623730951,1.4142135623730951,0.0,0.0,0.0,0,0,0.3992131776730501,0.3989113744732874,-0.01549102805584196,0.09855819642418796,0.30170999674893645,0
2840,2840,Tak02_Kob_0328_2,3,71,0.0011530432384461164,-6.765350537577784,0.9978468053453328,0.9979724541941172,0.00012564884878440985,36.19268419407074,34.85114433926331,-1.3415398548074364,0.0,0.9662385461152372,0.9708015248067872,-0.004562978691549979,8.468774750916277,7.515305347727994,-0.9534694031882848,1.0,1.0,0.0,0.0,0.0,0,0,0.9806739469671372,0.9841822302541756,-0.009872422160350114,-0.003489926724603465,0.002265156604196628,0
3053,3053,Oon03_Sue_0329_3,2,73,0.024298718199133876,-3.717331679033749,0.9969095213035644,0.9962798033204796,-0.0006297179830848654,17.851164642048456,17.50279141442617,-0.34837322762228595,0.0,-0.9776907169192736,-0.9776659086781184,-2.480824115536073e-05,5.476687348694542,5.484753532662563,0.0080661839680225,1.4142135623730951,1.4142135623730951,0.0,0.0,0.0,0,0,-0.13782571225561652,-0.13519317301714112,-0.8398401964225017,0.001178164688191513,-0.0015852279433296868,0
1448,1448,Tak10_cho_0329_3,2,85,0.8972185850143433,-0.10845576208969876,0.9604233325856922,0.9581121395926662,-0.002311192993026068,7.619202476604112,7.633619997087588,0.014417520483474888,0.0,0.3136993640575189,0.31384867503702113,-0.00014931097950221517,10.843904403521087,10.938477317545939,0.09457291402485346,4.123105625617661,4.123105625617661,0.0,0.0,0.0,0,0,-0.016318236504546654,-0.016580507250166483,0.3301669115415678,0.0011416166855203194,0.04495173305147819,0
403,403,Sat11_Kob_0303_1,4,23,0.032908838242292404,-3.4140140177046066,0.9971716418443092,0.9971751452069616,3.5033626525349253e-06,41.442512095049956,40.432080726621564,-1.0104313684283923,0.0,0.7266641724594863,0.765999289670093,-0.039335117210606674,19.49155139861202,18.782859337134518,-0.7086920614774996,1.0,1.0,0.0,0.0,0.0,0,0,0.3995813274371118,0.4672533956805565,0.3664179622329812,-0.06314165897550494,-0.17433032883385974,0
205,205,Oon12_Sue_0329_12,2,83,0.003841846715658903,-5.561802112449144,0.9923961557599971,0.9917931916976096,-0.0006029640623872456,8.868850797167156,4.216290155327572,-4.652560641839584,6.324555320336759,-0.9894873625271556,-0.9929071740296254,0.0034198115024697273,7.453957197366027,5.326178908982769,-2.127778288383258,1.4142135623730951,1.4142135623730951,0.0,6.324555320336759,6.324555320336759,0,1,-0.30321156654963205,-0.31258488325833844,-0.6896956074799934,-0.0012738142671254865,0.036507936420234616,0
209,209,Oon12_Sue_0329_12,2,115,0.010603561066091059,-4.546565384651325,0.998773434776677,0.9984907258243934,-0.00028270895228366116,11.569103593632784,10.919882250502189,-0.6492213431305949,0.0,0.9963343566350336,0.9962688441865664,6.55124484671976e-05,3.791742550265221,3.5095745554899516,-0.2821679947752691,9.899494936611664,9.899494936611664,0.0,0.0,0.0,0,0,-0.11466451887687673,-0.11165120400563286,1.1109333630634428,0.0,0.0,0
