name,move,wrbefore,wrafter,wrdiff,trbefore,trafter,trdiff,label
Sat10_cho_0302_4,9,0.99979196,0.999660277,-0.000131682,47.55647142,40.6820129,-6.874458525,1
Sat01_cho_0229_1,97,0.000631725,0.00064315,1.14E-05,-32.52477434,-32.91702253,-0.392248185,1
Oon02_Kob_0329_2,41,0.491563296,0.138234173,-0.353329123,-0.443607997,-3.391258009,-2.947650012,1
Sat12_Sue_0303_2,93,0.000707295,0.000402524,-0.000304771,-75.58655869,-84.2310934,-8.644534714,1
Oon16_cho_0329_16,5,0.996263546,0.996125798,-0.000137748,20.14117727,19.57239622,-0.568781058,1
Oon14_Kob_0329_14,19,0.997535463,0.997196626,-0.000338837,23.0777139,20.81481249,-2.262901408,1
Yas04_cho_0328_4,9,0.997283286,0.997116448,-0.000166838,20.47467284,18.68441827,-1.790254565,1
Sat04_Sue_0301_2,121,0.006861115,0.010329254,0.003468139,-9.424041333,-10.92392055,-1.499879218,1
Sat08_Kob_0302_2,71,0.033283089,0.021443053,-0.011840036,-6.860269381,-8.341295485,-1.481026104,1
Oon11_Kob_0329_11,9,0.996815102,0.99594962,-0.000865483,18.4575775,17.63300389,-0.824573611,1
Sat09_Sue_0302_3,61,0.994266962,0.986125062,-0.0081419,6.28664967,5.524994787,-0.761654883,1
Kat01_cho_0323_1,45,0.989012532,0.976908947,-0.012103585,17.28496887,13.41680632,-3.868162544,1
Sat16_cho_0304_2,1,0.999792041,0.999776165,-1.59E-05,44.76503669,44.35050742,-0.414529275,1
Yas07_cho_0328_7,25,0.997773807,0.996823718,-0.000950089,23.67458591,21.36614813,-2.308437774,1
Sat01_Ike_0229_1,13,0.999362703,0.999259691,-0.000103012,38.66624182,37.45224734,-1.213994485,1
Oon11_Kob_0329_11,113,0.869586673,0.79757462,-0.072012053,3.905196332,0.901249692,-3.00394664,1
Yam02_Kob_0223_2,47,0.009714802,0.008202703,-0.001512099,-16.62107138,-17.16657915,-0.545507775,1
Oon05_Kob_0329_5,7,0.997235205,0.997189633,-4.56E-05,20.6963954,19.30935004,-1.387045357,1
Oon09_Sue_0329_9,67,0.003201078,0.002725536,-0.000475542,-10.60755572,-12.40883047,-1.801274753,1
Yam04_Sue_0229_1,65,0.999389676,0.999442766,5.31E-05,57.7107674,83.89163383,26.18086644,1
Yas04_cho_0328_4,49,0.988040961,0.986512206,-0.001528755,19.55479018,19.14408675,-0.410703429,1
Yas06_Sue_0328_6,67,0.708507172,0.700230064,-0.008277107,3.124203634,3.000763321,-0.123440313,1
Oon04_cho_0329_4,37,0.970664581,0.948761623,-0.021902958,12.8493466,9.869550658,-2.979795942,1
Tak17_cho_0329_10,61,0.996632829,0.99909882,0.002465991,18.56126491,35.9795216,17.41825669,1
Oon07_cho_0329_7,47,0.972952612,0.904079704,-0.068872908,10.66697725,10.11178721,-0.555190036,1
Oon01_cho_0329_1,41,0.99691938,0.996331741,-0.000587639,40.29657423,38.77281969,-1.52375454,1
Oon07_cho_0329_7,41,0.977382812,0.968057712,-0.009325101,13.14767288,12.37308994,-0.77458294,1
Tak09_Sue_0329_2,31,0.996683498,0.99607874,-0.000604758,25.68107548,24.69670821,-0.98436727,1
Yas12_Sue_0328_12,45,0.997428879,0.997703684,0.000274805,30.07766729,18.66221006,-11.41545723,1
Sat04_Sue_0301_2,77,0.021473828,0.019275387,-0.002198441,-3.867999047,-4.736063033,-0.868063986,1
Yam06_Sue_0229_3,15,0.821320543,0.66085756,-0.160462983,3.758196498,1.518640092,-2.239556406,1
Oon04_cho_0329_4,35,0.963736976,0.962917484,-0.000819493,12.35946885,12.26996436,-0.089504485,1
Tak20_Kob_0330_2,37,0.900471817,0.243280174,-0.657191643,6.607060925,-2.738429314,-9.345490239,1
Oon10_cho_0329_10,79,0.638417355,0.632238988,-0.006178367,0.035660705,0.005461637,-0.030199068,1
Tak08_Kob_0329_1,29,0.998108402,0.998625674,0.000517272,26.69183287,30.59706839,3.905235523,1
Sat07_cho_0302_1,9,0.999496416,0.999460585,-3.58E-05,38.58331607,38.28856452,-0.294751555,1
Tak09_Sue_0329_2,1,0.997114693,0.996837148,-0.000277546,20.36190323,19.05982432,-1.302078913,1
Tak01_cho_0328_1,53,0.99955409,0.999577395,2.33E-05,83.32098117,81.07567191,-2.245309256,1
Sat02_Kob_0229_2,75,0.004482525,0.000985828,-0.003496697,-44.25220045,-47.9077745,-3.655574048,1
Sat08_Kob_0302_2,47,0.994976186,0.994313178,-0.000663007,16.3058699,14.62494045,-1.680929457,1
Sat05_Kob_0301_3,93,0.002335703,0.00230727,-2.84E-05,-9.953692637,-10.45673721,-0.503044577,1
Sat10_cho_0302_4,97,0.000622394,0.000479771,-0.000142623,-51.27999335,-51.76189282,-0.481899477,1
Sat02_Ike_0229_2,15,0.999418959,0.999368473,-5.05E-05,36.90216223,32.4206344,-4.481527831,1
Yam03_Sue_0223_3,41,0.998650464,0.999343348,0.000692884,30.84611489,42.13727351,11.29115862,1
Tak04_Kob_0328_4,41,0.996924732,0.993041334,-0.003883399,18.24812774,10.55331441,-7.694813327,1
Sat10_cho_0302_4,69,0.002259062,0.002521512,0.000262449,-18.30189546,-19.90812461,-1.606229149,1
Yam08_Kob_0301_2,81,0.001994151,0.002016589,2.24E-05,-22.73281641,-22.81571358,-0.082897167,1
Sat02_Ike_0229_2,87,0.000912979,0.000861893,-5.11E-05,-48.17927653,-51.39228278,-3.213006253,1
Tak04_cho_0328_4,67,0.994583913,0.994701105,0.000117192,17.78819777,17.20383514,-0.584362634,1
Tak15_Sue_0329_8,103,0.995553764,0.998015147,0.002461384,19.62336905,17.25643718,-2.366931868,1
Oon14_Kob_0329_14,21,0.997493435,0.996483036,-0.001010399,21.82120208,18.75530323,-3.065898841,1
Tak10_cho_0329_3,5,0.997609107,0.997035746,-0.000573361,21.20766395,19.30734952,-1.900314426,1
Oon04_Sue_0329_4,63,0.755469858,0.28927513,-0.466194728,1.88231429,-2.593558486,-4.475872776,1
Tak07_cho_0328_7,39,0.999654179,0.999692044,3.79E-05,70.96898086,77.35892481,6.389943953,1
Yas04_Sue_0328_4,19,0.995615816,0.995428445,-0.000187372,18.83896704,17.84036513,-0.998601915,1
Tak12_Sue_0329_5,29,0.999752357,0.99976908,1.67E-05,61.69367668,76.12037338,14.42669671,1
Sat02_Kob_0229_2,79,0.000895446,0.001178701,0.000283255,-46.96593464,-50.95432262,-3.988387975,1
Yas04_Sue_0328_4,29,0.996122592,0.992431407,-0.003691185,20.54704671,15.88614607,-4.660900638,1
Oon04_Kob_0329_4,91,0.814234335,0.802437417,-0.011796918,3.919791623,4.053925414,0.134133791,1
Sat15_Sue_0304_1,7,0.999768152,0.999736796,-3.14E-05,44.08894405,43.49617399,-0.59277006,1
Yas15_Sue_0328_15,27,0.993193634,0.992407589,-0.000786045,18.46051651,18.07923266,-0.381283844,1
Tak12_Sue_0329_5,27,0.999761652,0.99977406,1.24E-05,60.18047517,73.88911546,13.70864029,1
Yas14_Kob_0328_14,51,0.998149323,0.998587807,0.000438483,28.98746004,26.11546062,-2.871999419,1
Oon05_Kob_0329_5,97,0.996438103,0.997219309,0.000781206,25.62467458,21.36795373,-4.256720845,1
Sat01_Ike_0229_1,111,0.000691905,0.000575736,-0.000116169,-22.46639303,-25.03189153,-2.565498502,1
Sat04_cho_0301_2,65,0.022040383,0.018892771,-0.003147613,-3.935735701,-3.709460985,0.226274717,1
