,name,move,wr,tr
0,Yas12_Sue_0328_12,75,0.9975952887139408,7.516873049711919
1,Yas12_Sue_0328_12,67,0.997361679510446,13.267431466197303
2,Yas12_Sue_0328_12,73,0.9977214442338125,7.355955685787587
3,Yas12_Sue_0328_12,58,0.997379585028242,12.876222395170426
4,Yas12_Sue_0328_12,68,0.996910220722302,7.725213739102786
5,Yas12_Sue_0328_12,74,0.9965418392662984,7.08829205015348
6,Yas12_Sue_0328_12,76,0.9884821280462515,7.083617139077637
7,Yas12_Sue_0328_12,57,0.9980713608424467,16.991427882381256
8,Tak13_cho_0329_6,53,0.0075986558693718065,-11.714208250203093
9,Tak13_cho_0329_6,91,0.008419094557684637,-21.098220499242117
10,Tak13_cho_0329_6,19,0.9975948508729469,23.147100086399384
11,Tak13_cho_0329_6,52,0.005923855890915486,-13.761037462654917
12,Tak13_cho_0329_6,32,0.9822170980155467,11.160009516090414
13,Tak13_cho_0329_6,14,0.9971576937817703,18.725017940376247
14,Tak13_cho_0329_6,20,0.9950618370727619,17.5111677781373
15,Tak13_cho_0329_6,21,0.9959941671250975,21.999606886632396
16,Tak13_cho_0329_6,96,0.0028899016534861266,-37.623449788643164
17,Tak13_cho_0329_6,31,0.9929383506817426,15.73461654132421
18,Tak13_cho_0329_6,92,0.005917722813562176,-57.12478365825338
19,Tak13_cho_0329_6,51,0.26261798659245716,-2.02469374909726
20,Tak13_cho_0329_6,27,0.991734348687353,23.41367480451736
21,Tak13_cho_0329_6,33,0.9789639873765865,15.938338353167639
22,Tak13_cho_0329_6,95,0.006539978474498276,-20.27525448500262
23,Tak13_cho_0329_6,54,0.006155767419631197,-13.446693872552757
24,Tak13_cho_0329_6,13,0.9973153866717841,19.510862710434868
25,Tak13_cho_0329_6,34,0.9371832539426741,6.321050651953242
26,Tak13_cho_0329_6,28,0.9900617511051626,14.918545426251836
27,Tak13_cho_0329_6,22,0.9938283520814407,17.41712205461423
28,Yam05_Kob_0229_2,13,0.9652239540865155,8.97151134009406
29,Yam05_Kob_0229_2,61,0.0020547021320126424,-18.62103570793365
30,Yam05_Kob_0229_2,16,0.7306081152033507,2.865374424346765
31,Yam05_Kob_0229_2,68,0.0020415634355887002,-19.788781361768706
32,Yam05_Kob_0229_2,40,0.006980939614619652,-13.929917637363854
33,Yam05_Kob_0229_2,60,0.002001560566252225,-21.850013758046767
34,Yam05_Kob_0229_2,18,0.6777143245176325,1.7615675931333064
35,Yam05_Kob_0229_2,39,0.016994186306302228,-8.822906377831785
36,Yam05_Kob_0229_2,46,0.003499681594894888,-13.885935981556
37,Yam05_Kob_0229_2,15,0.8987109783312218,5.489313978155716
38,Yam05_Kob_0229_2,43,0.004713332252984648,-10.299654826135141
39,Yam05_Kob_0229_2,66,0.0022572367029970453,-19.374035979281945
40,Yam05_Kob_0229_2,41,0.005063606537781706,-9.67780482520838
41,Yam05_Kob_0229_2,65,0.002165155695117771,-18.600925915867197
42,Yam05_Kob_0229_2,12,0.8371475441568594,4.379978541935166
43,Yam05_Kob_0229_2,24,0.25666424338211136,-2.507066055745003
44,Yam05_Kob_0229_2,57,0.002591906173127545,-17.33327813540498
45,Yam05_Kob_0229_2,17,0.8269362878262221,3.3503085662333896
46,Yam05_Kob_0229_2,11,0.97589254131318,10.385348570322867
47,Yam05_Kob_0229_2,62,0.0022680410583332256,-20.94187217072437
48,Yam05_Kob_0229_2,45,0.005360887703609318,-10.169032100570213
49,Yam05_Kob_0229_2,23,0.7098104454575941,2.8405589707710863
50,Yam05_Kob_0229_2,50,0.0020163937098834905,-17.983709161178137
51,Yam05_Kob_0229_2,44,0.004577890962415232,-14.033625326352924
52,Yam05_Kob_0229_2,42,0.003187651540648484,-15.429705820584136
53,Yam05_Kob_0229_2,14,0.6851331726673653,1.9459789127972822
54,Yam05_Kob_0229_2,67,0.001625442049185688,-19.23966007231013
55,Yam05_Kob_0229_2,59,0.002284493288489342,-18.049093243357408
56,Yam05_Kob_0229_2,19,0.8037556448181713,3.3341767051592006
57,Yam05_Kob_0229_2,20,0.5630553354232738,0.8294112168021585
58,Yam05_Kob_0229_2,58,0.001864104961650348,-19.98809442752558
59,Yam05_Kob_0229_2,49,0.003734689049597839,-12.38099952653485
60,Sat09_Sue_0302_3,41,0.9958188092040593,14.661535161929507
61,Sat09_Sue_0302_3,82,0.9979790869852954,12.848182994645898
62,Sat09_Sue_0302_3,91,0.9970756750158064,13.74933762320972
63,Sat09_Sue_0302_3,31,0.9943830003638598,20.705338950872697
64,Sat09_Sue_0302_3,49,0.9869277708985247,12.097466406817837
