,name,handi,move,shaperate,shapelog,wrbefore,wrafter,wrdiff,trbefore,trafter,trdiff,dist1b,ownbefore,ownafter,owndiff,trstbefore,trstafter,trstdiff,dist01,dist02,dist21,dist0b,dist2b,bdec30,wdec30,own2before,own2after,own2diff,bdecav,wdecav
67,Mas07_cho_0328_1,4,33,0.001177790923975408,-6.744114693396716,0.9956142481306125,0.9940564369357634,-0.0015578111948491014,34.669994496076,28.781595859270485,-5.8883986368055155,4.123105625617661,-0.5686918660728887,-0.48553007154647393,-0.08316179452641476,22.064755924999094,22.51466322899918,0.44990730400008516,1.0,1.0,0.0,4.123105625617661,4.123105625617661,0,3,-0.21670943411224722,-0.18769900149979427,-0.2688206374342267,0,0
68,Mas07_cho_0328_1,4,81,0.001072729006409645,-6.83754940416561,0.9825313513345731,0.39468129718030187,-0.5878500541542713,5.7836494387115,-0.4623328670441799,-6.245982305755679,5.385164807134504,-0.9134219416755635,-0.9480479467334695,0.03462600505790603,11.307106635059695,6.611414633383397,-4.6956920016762975,1.4142135623730951,1.4142135623730951,0.0,5.385164807134504,5.385164807134504,1,2,0.10616178115795426,0.09212808881779029,-1.0542097278914238,0,0
69,Mas07_cho_0328_1,4,11,0.0005660871975123882,-7.476762432417826,0.9977227403912349,0.9975306132209254,-0.00019212717030947513,51.884877075394215,43.873156953932195,-8.01172012146202,3.0,0.4740566795585253,0.47447157861426226,-0.0004148990557369392,26.60083115803764,23.430862171654617,-3.1699689863830223,1.0,1.0,0.0,3.0,3.0,0,0,0.497423029178157,0.459987653991863,-0.02295145056389475,0,0
70,Sat02_Ike_0229_2,4,73,0.0015132003463804722,-6.493528436299484,0.017770330202092843,0.003401566318389393,-0.01436876388370345,-11.57121256558802,-45.15661237649589,-33.58539981090787,3.1622776601683795,-0.502037058761649,-0.45914431596618316,-0.04289274279546579,11.395104530104243,12.69561789553497,1.3005133654307262,4.47213595499958,4.47213595499958,0.0,3.1622776601683795,3.1622776601683795,4,6,0.05079727486589901,0.12728286886906579,-0.5099415908320821,0,0
71,Sat02_Ike_0229_2,4,55,0.001,-6.907755278982137,0.35591440679067443,0.5150130205516323,0.1590986137609579,-0.05653393371641912,0.6644699540248815,0.7210038877413006,2.23606797749979,-0.9009269030317718,-0.9041439286610983,0.0032170256293264643,8.961223050791938,9.8329595156921,0.8717364649001613,5.830951894845301,5.830951894845301,0.0,2.23606797749979,2.23606797749979,8,4,0.28203340780323816,0.34795520631142385,-1.1861773364643364,0,0
72,Sat02_Ike_0229_2,4,47,0.001,-6.907755278982137,0.9865019283078983,0.9351344689019214,-0.05136745940597687,11.705094245755271,9.174686812076748,-2.5304074336785227,6.0,-0.7731974752972626,-0.16314519945174608,-0.6100522758455165,10.772583206199414,12.439461908474495,1.6668787022750813,4.0,4.0,0.0,6.0,6.0,3,2,-0.20396854022978006,-0.021673946522451238,0.040823340778033984,0,0
73,Sat02_Ike_0229_2,4,35,0.001,-6.907755278982137,0.9963609903560341,0.9932374479625119,-0.003123542393522194,29.626515355490895,19.601419843961406,-10.02509551152949,3.605551275463989,0.2357386234620416,0.1097674860180097,0.1259711374440319,16.46953353217088,12.942143529570439,-3.5273900026004394,3.1622776601683795,3.1622776601683795,0.0,3.605551275463989,3.605551275463989,0,0,0.7916217179982431,0.7917879037663816,-0.6818542319802334,0,0
74,Sat02_Ike_0229_2,4,45,0.001133297453634441,-6.78262379508712,0.9903716102862664,0.9647911794258495,-0.025580430860416947,12.75272703608387,8.438141248714428,-4.314585787369442,5.385164807134504,-0.580240814878665,-0.5463418495329461,-0.0338989653457189,10.174928714761924,10.123195170437192,-0.05173354432473154,5.0,5.0,0.0,5.385164807134504,5.385164807134504,0,0,-0.030905806987638784,0.0344418276963667,-0.5154360425453073,0,0
75,Sat02_Ike_0229_2,4,53,0.0018018423579633236,-6.318945605330106,0.7555000002086255,0.3504489315796463,-0.4050510686289792,3.5547623519391904,-0.18394471254283448,-3.738707064482025,6.082762530298219,-0.7624176508296188,-0.9308752958586338,0.16845764502901506,11.426938019958492,9.172193186879065,-2.2547448330794264,2.23606797749979,2.23606797749979,0.0,6.082762530298219,6.082762530298219,2,1,-0.11719794768030348,-0.36205457543490477,-0.8136773481783304,0,0
76,Sat02_Ike_0229_2,4,49,0.0007535056211054325,-7.190774079931611,0.9559199818323092,0.5585740423230375,-0.39734593950927166,9.268680601449148,5.054888595368066,-4.213792006081082,3.605551275463989,0.8594091999589283,0.12189280092843574,0.7375163990304925,11.441082946678199,21.927272020563667,10.486189073885468,3.0,3.0,0.0,3.605551275463989,3.605551275463989,10,8,-0.09905012405936955,-0.12942192662791552,0.2209429249878053,0,0
77,Sat02_Ike_0229_2,4,65,0.001,-6.907755278982137,0.160710373865379,0.02068423672636044,-0.14002613713901857,-2.2686929596100454,-14.669168124936933,-12.400475165326888,5.0990195135927845,-0.3416352990934556,0.21690836931563248,-0.5585436684090881,7.592836983627869,13.718724796823118,6.1258878131952486,1.4142135623730951,1.4142135623730951,0.0,5.0990195135927845,5.0990195135927845,12,6,0.6198192382131066,0.6562698712959049,-0.4029108688974741,0,0
78,Sat02_Ike_0229_2,4,41,0.001,-6.907755278982137,0.9907465959188462,0.9779673486315565,-0.01277924728728963,16.811279507810482,15.372824254100703,-1.4384552537097797,6.0,0.38925343541571894,0.37822859114798746,0.011024844267731482,13.132428717102595,13.529799823022152,0.39737110591955727,4.123105625617661,4.123105625617661,0.0,6.0,6.0,0,1,0.3034832037237159,0.279040518910842,0.07474538742427156,0,0
79,Sat02_Ike_0229_2,4,39,0.019819695502519608,-3.9210791133406095,0.9925492745557288,0.990939586252811,-0.0016096883029178555,19.380882044417444,15.724688575818304,-3.65619346859914,2.8284271247461903,0.031203967743763453,-0.15682803959972855,0.188032007343492,14.30005554991654,12.172514559219255,-2.127540990697284,1.4142135623730951,1.4142135623730951,0.0,2.8284271247461903,2.8284271247461903,2,1,-0.1814385211728011,-0.3374700179640361,0.02461048157307255,0,0
