,name,move,wrbefore,wrafter,wrdiff,trbefore,trafter,trdiff
195,Yam04_Sue_0229_1,13,0.9998274136676772,0.9998375248448754,1.0111177198179888e-05,48.351637917320346,53.56837308298241,5.216735165662065
196,Yam04_Sue_0229_1,59,0.9995586482259766,0.9995993154524495,4.066722647289023e-05,77.69049662274003,91.16311516254838,13.472618539808352
197,Yam04_Sue_0229_1,7,0.9996129896632051,0.9998533749475487,0.00024038528434355833,41.116581903609735,53.614004929751886,12.497423026142151
198,Yam04_Sue_0229_1,45,0.9995796267017544,0.9997199619804007,0.00014033527864631967,54.511860832828866,76.00270044891994,21.490839616091073
199,Yam04_Sue_0229_1,61,0.9994684893263839,0.9995734101751563,0.00010492084877244956,79.3977490593455,91.85896556362654,12.46121650428104
200,Yam04_Sue_0229_1,57,0.9995345541062375,0.9995877747667135,5.322066047597218e-05,70.59887107709686,80.04680229704313,9.44793121994627
201,Yam04_Sue_0229_1,31,0.9998180129264409,0.9998908733600869,7.28604336459604e-05,57.557166238197276,69.75654110934947,12.199374871152195
202,Yam04_Sue_0229_1,17,0.9998281345626818,0.9998861110073234,5.797644464156093e-05,56.12753488083369,64.49002214063313,8.362487259799437
203,Yas09_Sue_0328_9,57,0.931112207688278,0.896986554476985,-0.034125653211292906,10.605237965156588,8.803954585773495,-1.8012833793830936
204,Yas09_Sue_0328_9,49,0.9535114130244098,0.7561326207600061,-0.1973787922644037,11.36746127733723,2.4227539300709013,-8.944707347266327
205,Yas09_Sue_0328_9,7,0.9968558738130537,0.9961061874514816,-0.0007496863615721328,19.6394764458581,18.195438090064272,-1.444038355793829
206,Yas09_Sue_0328_9,31,0.9799247924056054,0.939925640369486,-0.03999915203611937,13.946018040417329,9.88568551850371,-4.060332521913619
207,Yas09_Sue_0328_9,37,0.8857788543908723,0.7249658482613963,-0.16081300612947602,5.502183862661811,2.772821611219845,-2.729362251441966
208,Yas09_Sue_0328_9,43,0.7948336668596495,0.21491650912501903,-0.5799171577346305,3.8615714911876355,-3.347314651956529,-7.208886143144165
209,Sat12_Sue_0303_2,65,0.023185061046073208,0.011034964709561668,-0.01215009633651154,-19.265060711505402,-28.97840441932581,-9.713343707820407
210,Sat12_Sue_0303_2,63,0.054086747518939715,0.01827206182784058,-0.035814685691099135,-19.29718555449695,-19.88190896738116,-0.5847234128842125
211,Sat12_Sue_0303_2,5,0.9996711858407801,0.9996121836397251,-5.900220105492515e-05,42.72172095134417,41.13260809309149,-1.5891128582526761
212,Sat12_Sue_0303_2,33,0.997856937879883,0.9952513640166163,-0.0026055738632667635,36.845807622752154,29.478266615374846,-7.367541007377309
213,Sat12_Sue_0303_2,67,0.004821914485711787,0.005540077404841193,0.0007181629191294059,-16.67953246416932,-35.71436997143665,-19.034837507267333
214,Sat12_Sue_0303_2,61,0.04338748559764727,0.040147581840796254,-0.0032399037568510147,-21.039698828659233,-23.031082201825168,-1.9913833731659345
215,Sat12_Sue_0303_2,53,0.784270319175816,0.2800388978888523,-0.5042314212869637,6.051283171844662,-2.5875005867032104,-8.638783758547872
216,Sat12_Sue_0303_2,21,0.9996405354491473,0.9991996244196543,-0.00044091102949306293,50.223129342740414,41.804722922801616,-8.418406419938798
217,Sat12_Sue_0303_2,47,0.9956153160848319,0.885253886275213,-0.11036142980961894,25.01868173555457,6.86801552443239,-18.15066621112218
218,Sat12_Sue_0303_2,89,0.000998790058306609,0.0004986056364661984,-0.0005001844218404106,-67.68880343077787,-75.30151928170817,-7.6127158509303
219,Sat12_Sue_0303_2,31,0.9993658724444002,0.9980219224321822,-0.001343950012217987,47.963694411902175,34.93226194740828,-13.031432464493896
220,Sat12_Sue_0303_2,69,0.008811158360429339,0.003536662173341143,-0.005274496187088196,-24.817555458898614,-40.97136430965876,-16.153808850760146
221,Sat14_Kob_0303_4,61,0.971418173957969,0.7190374804603029,-0.2523806934976661,3.4515708327609116,1.3138850049023174,-2.1376858278585944
222,Sat14_Kob_0303_4,5,0.9996356473984851,0.9993808385523233,-0.00025480884616180255,40.688223237436794,35.02645080691722,-5.6617724305195765
223,Sat14_Kob_0303_4,65,0.9562995537992179,0.4821262094935591,-0.47417334430565883,3.7554280046179533,0.40253586237448413,-3.352892142243469
224,Sat14_Kob_0303_4,53,0.9966532703019537,0.9852578889301871,-0.011395381371766655,23.817917839113598,7.534459303701258,-16.28345853541234
225,Sat14_Kob_0303_4,9,0.9992729262041101,0.9992224618791095,-5.046432500066533e-05,37.25354755804654,36.377071366011194,-0.8764761920353479
226,Sat14_Kob_0303_4,83,0.024775429566592178,0.00399430372380849,-0.020781125842783688,-1.6920336082816578,-3.8665572477466106,-2.1745236394649528
227,Sat14_Kob_0303_4,39,0.9970257642508233,0.9966042901687022,-0.0004214740821211205,24.878852256122837,18.15232315025432,-6.726529105868519
228,Sat14_Kob_0303_4,79,0.01753566623674263,0.004807024583610597,-0.012728641653132033,-2.4203870983466658,-3.8209881937168886,-1.4006010953702228
229,Yas16_cho_0328_16,61,0.9526981944975533,0.8507509966048488,-0.10194719789270457,6.077379151380817,3.3904795161301853,-2.6868996352506316
230,Yas16_cho_0328_16,69,0.3180675410007018,0.07902395074296442,-0.23904359025773736,-1.1662251219679372,-2.867210078408647,-1.70098495644071
231,Yas16_cho_0328_16,45,0.9532188132700453,0.9364631413080662,-0.016755671961979135,10.078587883498024,8.17635407329096,-1.902233810207063
232,Yas16_cho_0328_16,79,0.036613574378227653,0.03500067749353464,-0.0016128968846930158,-2.6149575363200426,-2.628544781851123,-0.013587245531080594
233,Yas16_cho_0328_16,23,0.9981856192364209,0.9974757612979995,-0.0007098579384213766,28.357346877720722,24.008866663769243,-4.348480213951479
234,Yas16_cho_0328_16,15,0.9974958120045572,0.9974296774887275,-6.613451582970775e-05,23.43031325761903,22.843808849793575,-0.5865044078254549
235,Yas16_cho_0328_16,11,0.9970914155731009,0.9959614053357952,-0.0011300102373056342,20.294650935155605,17.15469662658518,-3.139954308570424
236,Yas16_cho_0328_16,21,0.9972790187685049,0.9976133141876169,0.00033429541911200733,28.83915189112349,24.680358386408013,-4.158793504715476
237,Yas16_cho_0328_16,39,0.9962965626024382,0.9738262076058238,-0.022470354996614317,27.908161307732836,11.224213383790193,-16.683947923942643
