,Unnamed: 0,name,handi,move,shaperate,shapelog,wrbefore,wrafter,wrdiff,trbefore,trafter,trdiff,dist1b,ownbefore,ownafter,owndiff,trstbefore,trstafter,trstdiff,dist01,dist02,dist21,dist0b,dist2b,bdec30,wdec30,own2before,own2after,own2diff,bdecav,wdecav,label
500,500,Tak17_cho_0329_10,3,21,0.2126406133174896,-1.5481517997216547,0.9957934256256704,0.9951762507513228,-0.000617174874347759,31.808097325693726,28.17858298574021,-3.6295143399535132,1.4142135623730951,0.16286802008720194,0.1898862238920722,-0.027018203804870244,19.401471600797276,18.680221023852802,-0.7212505769444739,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,0,0,0.5046128138828428,0.5071669978709734,-0.31472658999077063,-0.0034491992170664343,0.008689422886628467,4
501,501,Tak17_cho_0329_10,3,31,0.001,-6.907755278982138,0.9957491998173302,0.9963040080567108,0.0005548082393806997,39.20299978870547,31.0432715838758,-8.159728204829669,1.4142135623730951,0.3920387349157537,0.8704798226993977,-0.47844108778364397,21.795450087307664,18.218353274051573,-3.5770968132560874,1.0,1.0,0.0,1.4142135623730951,1.4142135623730951,4,2,0.6893692541786034,0.5033248309949594,0.18111056852079432,0.0006389201892922357,0.007018806165405123,1
502,502,Tak17_cho_0329_10,3,37,0.0015554941492155194,-6.4659620029865845,0.9939537157011822,0.994816449396624,0.0008627336954418753,21.537611001903887,19.222259900937022,-2.3153511009668652,8.246211251235321,0.9214224540802396,0.9319852377530656,-0.010562783672826148,13.275868417021053,12.553255739386055,-0.7226126776349933,2.8284271247461903,2.8284271247461903,0.0,8.246211251235321,8.246211251235321,0,0,0.9302193380393858,0.9419745971946968,0.0017658997136797974,-0.0074614361564169784,-0.003221347699523397,6
503,503,Tak17_cho_0329_10,3,33,0.001,-6.907755278982138,0.9957606200827194,0.9953837310687824,-0.00037688901393706514,33.52820972514237,22.177958271810432,-11.350251453331945,3.1622776601683795,0.35833558955073785,0.8783584176659609,-0.5200228281152229,20.653651666824352,14.359183511905293,-6.294468154919058,1.0,1.0,0.0,3.1622776601683795,3.1622776601683795,1,4,0.6660574658241981,0.7016601299878701,0.2123009518417628,0.004025592591831022,0.005492007033588928,7
504,504,Tak17_cho_0329_10,3,29,0.001498436671681702,-6.503332933240587,0.996754846024068,0.9969133967973264,0.00015855077325854786,36.368946805936204,33.877077692779174,-2.49186911315703,2.23606797749979,0.7186942445729004,0.7439287067137706,-0.025234462140870214,19.426922333179746,18.223730025204247,-1.2031923079755025,3.0,3.0,0.0,2.23606797749979,2.23606797749979,0,0,0.3433988996538052,0.4025098922130189,0.4005298070599655,-0.0058084280460613535,-0.008591524972673847,1
505,505,Tak07_cho_0328_7,3,21,0.2643420398235321,-1.3305114090160919,0.9963419595686248,0.9959308680380216,-0.0004110915306032581,35.969034889028514,34.43343906131929,-1.5355958277092228,3.6055512754639887,0.1577512116382382,0.07793681574025171,0.0798143958979865,20.05656991279535,20.332622803716266,0.2760528909209121,2.23606797749979,2.23606797749979,0.0,3.6055512754639887,3.6055512754639887,0,0,0.20478418453626515,0.1004077930199849,-0.12684736879601344,0.0009852909145773305,0.0041367770660891146,1
506,506,Tak07_cho_0328_7,3,47,0.0007522593368776143,-7.192429430596797,0.9886408774066816,0.9842451165554358,-0.004395760851245711,22.233314796223926,17.100730169655595,-5.132584626568331,2.0,-0.0799249956946531,-0.09839154050004713,0.018466544805394017,19.414736947767075,16.70125210949194,-2.713484838275136,2.8284271247461903,2.8284271247461903,0.0,2.0,2.0,0,4,0.21329372534610036,0.1846742329262726,-0.3116852658461474,0.044089863993175736,0.04052035004150559,1
507,507,Tak07_cho_0328_7,3,11,0.001339693320915103,-6.615314556201635,0.9967224040441568,0.9962074179974784,-0.000514986046678545,39.45704605916008,33.06370820970826,-6.393337849451817,6.0827625302982185,0.23479469513764215,0.4695616377904255,-0.2347669426527833,20.500690389993824,18.435937010994838,-2.0647533789989865,1.0,1.0,0.0,6.0827625302982185,6.0827625302982185,1,0,0.8199448889524051,0.9093432928895536,-0.3503832511619797,-0.005385295341981011,0.04052986408026293,1
508,508,Tak07_cho_0328_7,3,69,0.0009183017536997797,-6.992984513622369,0.9867176053803284,0.9863736791204468,-0.0003439262598816661,15.268232062252252,13.12078717758661,-2.1474448846656418,3.6055512754639887,-0.6316931453124746,-0.5885496856871227,-0.04314345962535182,10.890616363188162,9.823999349059848,-1.066617014128315,1.4142135623730951,1.4142135623730951,0.0,3.6055512754639887,3.6055512754639887,2,4,-0.11994840562010935,-0.13231146245154782,-0.4686012800670134,0.0010756273349871726,0.012294831022855307,1
509,509,Tak07_cho_0328_7,3,71,0.03615281730890274,-3.3200003995578182,0.9877809676334875,0.8594169576186891,-0.1283640100147987,15.436644480474362,8.327465738360912,-7.109178742113451,5.0990195135927845,0.5106810017112324,-0.534487033233299,1.0451680349445316,10.512014774385472,13.475413921291967,2.9633991469064966,3.6055512754639887,3.6055512754639887,0.0,5.0990195135927845,5.0990195135927845,1,3,-0.22128022588490667,-0.1225417861386356,-0.31320680734839235,0.015714807494359183,0.006355415729514452,1
510,510,Tak07_cho_0328_7,3,91,0.0008178388234227897,-7.1088452781563936,0.006271061057382066,0.003921865568475513,-0.0023491954889065525,-5.738865282505256,-13.307254737122355,-7.568389454617099,1.4142135623730951,0.997402912815258,0.9928193438110088,0.004583569004249055,4.5142647404598,5.675336803141704,1.161072062681904,6.0827625302982185,6.0827625302982185,0.0,1.4142135623730951,1.4142135623730951,1,3,0.3103673281834292,0.24682628400473164,0.6824520156275797,0.021543991748210558,-0.02251852997211037,1
511,511,Tak07_cho_0328_7,3,25,0.0011894373456016185,-6.734274902494934,0.9962895994713789,0.9952483566785528,-0.0010412427928259136,33.229087453679035,30.682442282712632,-2.5466451709664,4.0,0.10785529786396886,0.10016642548384838,0.007688872380120476,18.23864508859539,19.080286086456415,0.841640997861024,1.4142135623730951,1.4142135623730951,0.0,4.0,4.0,0,0,0.11191123112900116,0.15142117172602226,-0.011744805645152791,0.0008393821536265554,-0.0015855867927199732,9
